iata,name,city,city_norm,country,continent,type,lat,lon
UBN,Ulaanbaatar Chinggis Khaan International Airport,Ulaanbaatar,ulaanbaatar,MN,AS,large_airport,47.646916,106.819833
ULO,Ulaangom Airport,Ulaangom,ulaangom,MN,AS,medium_airport,50.066588,91.938273
UUD,Baikal International Airport,Ulan Ude,ulan ude,RU,AS,large_airport,51.808614,107.439652
UCB,Ulanqab Jining Airport,Ulanqab,ulanqab,CN,AS,medium_airport,41.130266,113.107274
USN,Ulsan Airport,Ulsan,ulsan,KR,AS,medium_airport,35.59349823,129.352005005
ULV,Ulyanovsk Baratayevka Airport,Ulyanovsk,ulyanovsk,RU,AS,large_airport,54.268299,48.2267
UME,Umeå Airport,Umeå,umea,SE,EU,large_airport,63.791801,20.282801
UNK,Unalakleet Airport,Unalakleet,unalakleet,US,NA,medium_airport,63.888401,-160.798996
UNI,Union Island International Airport,Union Island,union island,VC,NA,medium_airport,12.600135,-61.411945
UTN,Upington Airport,Upington,upington,ZA,AF,medium_airport,-28.400246,21.263592
URA,Manshuk Mametova International Airport,Uralsk,uralsk,KZ,AS,large_airport,51.151976,51.543652
URJ,Uray Airport,Uray,uray,RU,AS,medium_airport,60.103298,64.826698
UGC,Urgench International Airport,Urgench,urgench,UZ,AS,large_airport,41.58274,60.64338
OMH,Urmia Airport,Urmia,urmia,IR,AS,medium_airport,37.6680984497,45.0686988831
UPN,Uruapan - Licenciado y General Ignacio Lopez Rayon International Airport,Uruapan,uruapan,MX,NA,medium_airport,19.3967,-102.039001
URG,Rubem Berta Airport,Uruguaiana,uruguaiana,BR,SA,medium_airport,-29.7822,-57.0382
URC,Ürümqi Tianshan International Airport,Ürümqi,urumqi,CN,AS,large_airport,43.913584,87.479372
USH,Ushuaia - Malvinas Argentinas International Airport,Ushuaia,ushuaia,AR,SA,medium_airport,-54.8433,-68.2958
